BELNR,BUKRS,GJAHR,BUDAT,USNAM
0005000000,CH01,2019,2021-12-21,ASCHUMACHER
0005000001,CH01,2018,2022-01-28,NEOFELBER
0005000002,CH01,2018,2020-03-04,STEVE22
0005000003,CH01,2019,2019-09-01,STEFFENJACQU
0005000004,CH01,2019,2021-06-19,JOANNA17
0005000005,CH01,2019,2023-04-16,LFURRER
0005000006,CH01,2019,2019-09-11,PARNOLD
0005000007,CH01,2018,2018-11-13,HARALDSIDLER
0005000008,CH01,2020,2022-02-25,WILLIFELBER
0005000009,CH01,2018,2020-05-16,JESSICAKUNZ
0005000010,CH01,2020,2022-10-04,VOGELDOLORES
0005000011,CH01,2019,2023-03-13,LAYLA13
0005000012,CH01,2020,2021-09-16,KMETTLER
0005000013,CH01,2021,2020-02-06,JSCHULER
0005000014,CH01,2020,2024-02-16,YVETTESTAUFF
0005000015,CH01,2019,2022-02-20,GORDANASTOCK
0005000016,CH01,2021,2020-12-17,LSCHOCH
0005000017,CH01,2020,2019-01-17,IKNECHT
0005000018,CH01,2018,2019-04-29,NINAOTT
0005000019,CH01,2018,2023-05-10,GABRIELLABOS
0005000020,CH01,2019,2019-10-22,WUTHRICHMARI
0005000021,CH01,2019,2022-02-01,BOLLIGERFARU
0005000022,CH01,2020,2023-03-07,WIRZPAMELA
0005000023,CH01,2021,2023-02-09,CKAUFMANN
0005000024,CH01,2021,2023-06-13,ZGIGER
0005000025,CH01,2019,2021-12-09,LJOST
0005000026,CH01,2021,2024-03-12,LEUNBERGERBE
0005000027,CH01,2020,2020-05-06,MALEABLASER
0005000028,CH01,2020,2020-07-19,MHAFLIGER
0005000029,CH01,2020,2018-08-08,SCHLATTERNIN
0005000030,CH01,2020,2019-05-23,KERNANNAMARI
0005000031,CH01,2018,2020-01-02,RINOR51
0005000032,CH01,2019,2019-08-25,TOMAS86
0005000033,CH01,2018,2022-07-08,ELEONORA63
0005000034,CH01,2018,2021-06-16,XFISCHER
0005000035,CH01,2018,2022-06-24,THAAS
0005000036,CH01,2018,2022-08-10,IWALTER
0005000037,CH01,2019,2024-07-19,WEHRLIPETAR
0005000038,CH01,2019,2021-09-09,ARNOLDGASSER
0005000039,CH01,2019,2022-02-14,CAROL89
0005000040,CH01,2021,2023-06-11,FEHRABRAHAM
0005000041,CH01,2021,2025-04-25,ZIMMERMANNCE
0005000042,CH01,2020,2024-04-29,BSCHULER
0005000043,CH01,2019,2019-03-08,ENIS51
0005000044,CH01,2018,2022-10-29,NKUNG
0005000045,CH01,2019,2023-02-27,CHRISTEL90
0005000046,CH01,2019,2025-03-08,SARINAMOSER
0005000047,CH01,2021,2021-08-21,CLAIRE-LISES
0005000048,CH01,2019,2025-01-29,DINO09
