BELNR,BUZEI,KUNNR,WRBTR,WAERS,SGTXT
0005000000,001,0000001139,55841.52,CHF,Payment to Michele Ziegler re invoice 98696
0005000001,001,0000001007,147643.60,CHF,Monthly service fee
0005000002,001,0000001006,54698.56,CHF,License renewal
0005000003,001,0000001107,179019.10,CHF,License renewal
0005000004,001,0000001001,112329.80,CHF,Consulting Q3
0005000005,001,0000001071,174549.94,CHF,Consulting Q3
0005000006,001,0000001026,53867.67,CHF,Consulting Q3
0005000007,001,0000001088,95012.83,CHF,Consulting Q3
0005000008,001,0000001137,201791.71,CHF,Freight costs
0005000009,001,0000001020,243280.29,CHF,Freight costs
0005000010,001,0000001092,207359.70,CHF,License renewal
0005000011,001,0000001058,176157.73,CHF,Monthly service fee
0005000012,001,0000001025,246306.12,CHF,Hardware purchase
0005000013,001,0000001041,69529.50,CHF,Consulting Q3
0005000014,001,0000001018,88849.91,CHF,Consulting Q3
0005000015,001,0000001041,133558.26,CHF,Hardware purchase
0005000016,001,0000001056,94894.89,CHF,License renewal
0005000017,001,0000001058,210720.84,CHF,Monthly service fee
0005000018,001,0000001068,201271.20,CHF,Freight costs
0005000019,001,0000001080,52785.16,CHF,License renewal
0005000020,001,0000001117,163876.89,CHF,Freight costs
0005000021,001,0000001143,66256.80,CHF,Hardware purchase
0005000022,001,0000001149,186766.10,CHF,Freight costs
0005000023,001,0000001130,90531.01,CHF,Hardware purchase
0005000024,001,0000001028,22772.81,CHF,Monthly service fee
0005000025,001,0000001016,156880.14,CHF,Freight costs
0005000026,001,0000001135,95435.74,CHF,Freight costs
0005000027,001,0000001029,242771.04,CHF,Monthly service fee
0005000028,001,0000001028,192161.25,CHF,Consulting Q3
0005000029,001,0000001000,108719.57,CHF,Freight costs
0005000030,001,0000001129,242973.43,CHF,Hardware purchase
0005000031,001,0000001129,217636.12,CHF,Consulting Q3
0005000032,001,0000001138,38252.18,CHF,Hardware purchase
0005000033,001,0000001004,149756.20,CHF,Freight costs
0005000034,001,0000001061,232278.20,CHF,Consulting Q3
0005000035,001,0000001020,60255.85,CHF,License renewal
0005000036,001,0000001136,182990.30,CHF,Monthly service fee
0005000037,001,0000001140,32141.45,CHF,Freight costs
0005000038,001,0000001108,66300.90,CHF,License renewal
0005000039,001,0000001079,232231.93,CHF,Hardware purchase
0005000040,001,0000001132,248787.58,CHF,Payment to A. Frey re invoice 67422
0005000041,001,0000001016,30295.00,CHF,Hardware purchase
0005000042,001,0000001058,5307.51,CHF,License renewal
0005000043,001,0000001058,1847.35,CHF,Monthly service fee
0005000044,001,0000001018,226359.73,CHF,Consulting Q3
0005000045,001,0000001054,69655.39,CHF,Freight costs
0005000046,001,0000001147,180851.97,CHF,License renewal
0005000047,001,0000001104,60787.16,CHF,Freight costs
0005000048,001,0000001090,23626.73,CHF,Freight costs
0005000049,001,0000001025,102805.01,CHF,Monthly service fee
0005000050,001,0000001027,100685.19,CHF,Consulting Q3
0005000051,001,0000001114,47937.94,CHF,License renewal
0005000052,001,0000001118,105499.32,CHF,Consulting Q3
0005000053,001,0000001113,218627.76,CHF,Monthly service fee
0005000054,001,0000001003,12694.55,CHF,License renewal
0005000055,001,0000001042,231595.43,CHF,Hardware purchase
0005000056,001,0000001102,121436.00,CHF,Hardware purchase
0005000057,001,0000001099,41201.05,CHF,Monthly service fee
0005000058,001,0000001073,231633.19,CHF,Freight costs
0005000059,001,0000001124,174163.05,CHF,License renewal
0005000060,001,0000001014,47514.97,CHF,Hardware purchase
0005000061,001,0000001012,187006.49,CHF,Monthly service fee
0005000062,001,0000001040,125737.45,CHF,License renewal
0005000063,001,0000001047,240196.69,CHF,Monthly service fee
0005000064,001,0000001103,148779.02,CHF,Hardware purchase
0005000065,001,0000001063,235401.95,CHF,License renewal
0005000066,001,0000001149,154864.41,CHF,Freight costs
0005000067,001,0000001080,233679.83,CHF,Hardware purchase
0005000068,001,0000001076,66440.35,CHF,Hardware purchase
0005000069,001,0000001002,79078.49,CHF,Monthly service fee
0005000070,001,0000001025,155308.76,CHF,License renewal
0005000071,001,0000001067,134431.72,CHF,License renewal
0005000072,001,0000001062,233318.18,CHF,Monthly service fee
0005000073,001,0000001139,71282.60,CHF,Freight costs
0005000074,001,0000001002,152938.86,CHF,License renewal
0005000075,001,0000001034,232942.42,CHF,Monthly service fee
0005000076,001,0000001141,28901.40,CHF,Monthly service fee
0005000077,001,0000001053,68123.44,CHF,License renewal
0005000078,001,0000001129,50939.15,CHF,Consulting Q3
0005000079,001,0000001023,62817.76,CHF,Monthly service fee
0005000080,001,0000001085,207345.55,CHF,Payment to Cristina Geiger re invoice 10464
0005000081,001,0000001041,159296.49,CHF,Consulting Q3
0005000082,001,0000001143,137942.52,CHF,Freight costs
0005000083,001,0000001139,28012.88,CHF,Hardware purchase
0005000084,001,0000001141,208657.03,CHF,License renewal
0005000085,001,0000001078,107475.19,CHF,Monthly service fee
0005000086,001,0000001091,224750.42,CHF,Monthly service fee
0005000087,001,0000001090,170532.57,CHF,Monthly service fee
0005000088,001,0000001060,243460.56,CHF,Hardware purchase
0005000089,001,0000001105,244052.70,CHF,Hardware purchase
0005000090,001,0000001105,44881.20,CHF,Consulting Q3
0005000091,001,0000001097,66738.09,CHF,Monthly service fee
0005000092,001,0000001051,214655.38,CHF,Hardware purchase
0005000093,001,0000001057,87447.12,CHF,Hardware purchase
0005000094,001,0000001084,165025.29,CHF,Freight costs
0005000095,001,0000001089,216095.02,CHF,Consulting Q3
0005000096,001,0000001084,169895.55,CHF,License renewal
0005000097,001,0000001045,28879.67,CHF,Consulting Q3
0005000098,001,0000001111,9612.39,CHF,License renewal
0005000099,001,0000001111,182149.84,CHF,Consulting Q3
0005000100,001,0000001048,96329.60,CHF,License renewal
0005000101,001,0000001000,11144.41,CHF,Freight costs
0005000102,001,0000001084,91087.16,CHF,Monthly service fee
0005000103,001,0000001076,165863.70,CHF,Monthly service fee
0005000104,001,0000001103,166739.88,CHF,Consulting Q3
0005000105,001,0000001107,138625.40,CHF,Hardware purchase
0005000106,001,0000001145,169345.62,CHF,Hardware purchase
0005000107,001,0000001077,101548.49,CHF,Monthly service fee
0005000108,001,0000001082,52585.16,CHF,License renewal
0005000109,001,0000001130,110474.41,CHF,Hardware purchase
0005000110,001,0000001021,198444.16,CHF,Hardware purchase
0005000111,001,0000001085,128887.23,CHF,License renewal
0005000112,001,0000001079,204614.94,CHF,Hardware purchase
0005000113,001,0000001006,201650.40,CHF,Hardware purchase
0005000114,001,0000001018,61248.39,CHF,Freight costs
0005000115,001,0000001049,103639.53,CHF,License renewal
0005000116,001,0000001037,123619.57,CHF,Hardware purchase
0005000117,001,0000001108,223170.32,CHF,Monthly service fee
0005000118,001,0000001118,44012.88,CHF,License renewal
0005000119,001,0000001116,139373.58,CHF,Monthly service fee
0005000120,001,0000001081,200364.08,CHF,Payment to Michele Ziegler re invoice 83259
0005000121,001,0000001109,153182.45,CHF,License renewal
0005000122,001,0000001115,224307.17,CHF,Freight costs
0005000123,001,0000001133,187956.61,CHF,Consulting Q3
0005000124,001,0000001112,156705.77,CHF,Consulting Q3
0005000125,001,0000001069,178400.54,CHF,Hardware purchase
0005000126,001,0000001020,79961.41,CHF,License renewal
0005000127,001,0000001039,37750.12,CHF,Freight costs
0005000128,001,0000001084,16104.00,CHF,Freight costs
0005000129,001,0000001107,103972.77,CHF,Hardware purchase
0005000130,001,0000001005,226214.38,CHF,License renewal
0005000131,001,0000001076,119271.08,CHF,Consulting Q3
0005000132,001,0000001137,213369.32,CHF,Freight costs
0005000133,001,0000001111,122082.96,CHF,Consulting Q3
0005000134,001,0000001103,7304.75,CHF,Consulting Q3
0005000135,001,0000001136,210134.39,CHF,Hardware purchase
0005000136,001,0000001144,226736.87,CHF,License renewal
0005000137,001,0000001034,21032.67,CHF,Freight costs
0005000138,001,0000001097,45473.17,CHF,Consulting Q3
0005000139,001,0000001086,52954.49,CHF,Consulting Q3
0005000140,001,0000001064,69600.24,CHF,Freight costs
0005000141,001,0000001013,117603.19,CHF,License renewal
0005000142,001,0000001010,56094.33,CHF,Monthly service fee
0005000143,001,0000001005,237405.45,CHF,Hardware purchase
0005000144,001,0000001029,59674.31,CHF,Freight costs
0005000145,001,0000001094,116285.24,CHF,Consulting Q3
0005000146,001,0000001041,151492.88,CHF,Monthly service fee
0005000147,001,0000001079,27069.28,CHF,Monthly service fee
0005000148,001,0000001019,99193.78,CHF,Hardware purchase
0005000149,001,0000001030,25520.23,CHF,Consulting Q3
0005000150,001,0000001094,86833.58,CHF,Freight costs
0005000151,001,0000001003,126514.90,CHF,Consulting Q3
0005000152,001,0000001110,205591.61,CHF,Monthly service fee
0005000153,001,0000001039,158914.50,CHF,Freight costs
0005000154,001,0000001069,44075.43,CHF,License renewal
0005000155,001,0000001068,116245.20,CHF,License renewal
0005000156,001,0000001071,212935.70,CHF,Monthly service fee
0005000157,001,0000001145,61003.67,CHF,Freight costs
0005000158,001,0000001083,84132.34,CHF,Freight costs
0005000159,001,0000001066,121913.11,CHF,Consulting Q3
0005000160,001,0000001142,69950.64,CHF,Payment to Alessandra Frey re invoice 46211
0005000161,001,0000001021,129180.98,CHF,Hardware purchase
0005000162,001,0000001142,180032.66,CHF,Freight costs
0005000163,001,0000001114,172667.80,CHF,Freight costs
0005000164,001,0000001103,23308.68,CHF,Hardware purchase
0005000165,001,0000001094,76586.20,CHF,License renewal
0005000166,001,0000001108,138390.57,CHF,Consulting Q3
0005000167,001,0000001069,87985.04,CHF,Freight costs
0005000168,001,0000001049,62888.35,CHF,Monthly service fee
0005000169,001,0000001047,29932.71,CHF,License renewal
0005000170,001,0000001070,54135.34,CHF,Freight costs
0005000171,001,0000001075,245128.63,CHF,Hardware purchase
0005000172,001,0000001003,90252.22,CHF,Consulting Q3
0005000173,001,0000001141,68614.12,CHF,Monthly service fee
0005000174,001,0000001125,174369.48,CHF,Hardware purchase
0005000175,001,0000001072,218186.30,CHF,License renewal
0005000176,001,0000001047,119704.62,CHF,Consulting Q3
0005000177,001,0000001029,63156.97,CHF,Freight costs
0005000178,001,0000001147,100206.83,CHF,Monthly service fee
0005000179,001,0000001077,37974.17,CHF,License renewal
0005000180,001,0000001142,248479.83,CHF,Monthly service fee
0005000181,001,0000001057,151599.10,CHF,License renewal
0005000182,001,0000001076,112656.09,CHF,Freight costs
0005000183,001,0000001015,76379.79,CHF,License renewal
0005000184,001,0000001054,236900.17,CHF,Hardware purchase
0005000185,001,0000001061,165124.01,CHF,Hardware purchase
0005000186,001,0000001000,138020.46,CHF,Hardware purchase
0005000187,001,0000001120,112653.40,CHF,License renewal
