BELNR,BUKRS,GJAHR,BUDAT,USNAM
0005000000,CH01,2019,2021-12-20,ASCHUMACHER
0005000001,CH01,2018,2022-01-27,NEOFELBER
0005000002,CH01,2018,2020-03-03,STEVE22
0005000003,CH01,2019,2019-08-31,STEFFENJACQU
0005000004,CH01,2019,2021-06-18,JOANNA17
0005000005,CH01,2019,2023-04-15,LFURRER
0005000006,CH01,2019,2019-09-10,PARNOLD
0005000007,CH01,2018,2018-11-12,HARALDSIDLER
0005000008,CH01,2020,2022-02-24,WILLIFELBER
0005000009,CH01,2018,2020-05-15,JESSICAKUNZ
0005000010,CH01,2020,2022-10-03,VOGELDOLORES
0005000011,CH01,2019,2023-03-12,LAYLA13
0005000012,CH01,2020,2021-09-15,KMETTLER
0005000013,CH01,2021,2020-02-05,JSCHULER
0005000014,CH01,2020,2024-02-15,YVETTESTAUFF
0005000015,CH01,2019,2022-02-19,GORDANASTOCK
0005000016,CH01,2021,2020-12-16,LSCHOCH
0005000017,CH01,2020,2019-01-16,IKNECHT
0005000018,CH01,2018,2019-04-28,NINAOTT
0005000019,CH01,2018,2023-05-09,GABRIELLABOS
0005000020,CH01,2019,2019-10-21,WUTHRICHMARI
0005000021,CH01,2019,2022-01-31,BOLLIGERFARU
0005000022,CH01,2020,2023-03-06,WIRZPAMELA
0005000023,CH01,2021,2023-02-08,CKAUFMANN
0005000024,CH01,2021,2023-06-12,ZGIGER
0005000025,CH01,2019,2021-12-08,LJOST
0005000026,CH01,2021,2024-03-11,LEUNBERGERBE
0005000027,CH01,2020,2020-05-05,MALEABLASER
0005000028,CH01,2020,2020-07-18,MHAFLIGER
0005000029,CH01,2020,2018-08-07,SCHLATTERNIN
0005000030,CH01,2020,2019-05-22,KERNANNAMARI
0005000031,CH01,2018,2020-01-01,RINOR51
0005000032,CH01,2019,2019-08-24,TOMAS86
0005000033,CH01,2018,2022-07-07,ELEONORA63
0005000034,CH01,2018,2021-06-15,XFISCHER
0005000035,CH01,2018,2022-06-23,THAAS
0005000036,CH01,2018,2022-08-09,IWALTER
0005000037,CH01,2019,2024-07-18,WEHRLIPETAR
0005000038,CH01,2019,2021-09-08,ARNOLDGASSER
0005000039,CH01,2019,2022-02-13,CAROL89
0005000040,CH01,2021,2023-06-10,FEHRABRAHAM
0005000041,CH01,2021,2025-04-24,ZIMMERMANNCE
0005000042,CH01,2020,2024-04-28,BSCHULER
0005000043,CH01,2019,2019-03-07,ENIS51
0005000044,CH01,2018,2022-10-28,NKUNG
0005000045,CH01,2019,2023-02-26,CHRISTEL90
0005000046,CH01,2019,2025-03-07,SARINAMOSER
0005000047,CH01,2021,2021-08-20,CLAIRE-LISES
0005000048,CH01,2019,2025-01-28,DINO09
0005000049,CH01,2021,2022-02-18,AMELIEFELDER
0005000050,CH01,2018,2023-04-12,VALERIO02
0005000051,CH01,2019,2019-03-03,LANA65
0005000052,CH01,2019,2023-04-01,MSCHNEIDER
0005000053,CH01,2019,2022-03-09,BOLLIGERLENA
0005000054,CH01,2018,2020-07-21,ENDRIT43
0005000055,CH01,2018,2022-10-21,MARCELOKUNZ
0005000056,CH01,2021,2022-08-02,MIROSLAV68
0005000057,CH01,2018,2019-04-23,NAFGIACOMO
0005000058,CH01,2020,2020-12-09,ZIMMERMANNNA
0005000059,CH01,2021,2025-04-04,HEIDY76
0005000060,CH01,2019,2022-07-03,GAELLEITEN
0005000061,CH01,2018,2025-04-15,DSTOCKER
0005000062,CH01,2021,2024-11-01,METTLERRICAR
0005000063,CH01,2018,2020-05-13,YSIEGRIST
0005000064,CH01,2018,2025-07-09,SNEZANAHUBER
0005000065,CH01,2018,2021-06-13,NADINE80
0005000066,CH01,2018,2023-06-20,RODRIGO41
0005000067,CH01,2020,2021-05-09,MORITZ82
0005000068,CH01,2019,2021-11-24,GINO94
0005000069,CH01,2021,2019-11-04,RITAWALTER
0005000070,CH01,2021,2019-12-17,SAMANTAHARTM
0005000071,CH01,2018,2020-01-04,ROSALIAGUT
0005000072,CH01,2019,2024-05-31,AMIR11
0005000073,CH01,2020,2025-01-01,ASCHWARZ
0005000074,CH01,2020,2023-11-29,METTLERDARDA
0005000075,CH01,2020,2022-11-27,RSCHLATTER
0005000076,CH01,2020,2021-12-30,JEAN-MARC39
0005000077,CH01,2019,2019-06-17,IMERZ
0005000078,CH01,2020,2018-10-16,JAIME27
0005000079,CH01,2021,2025-05-24,SHUBER
0005000080,CH01,2021,2018-08-15,HARISSCHMID
0005000081,CH01,2019,2019-04-08,ANNE-MARIE42
0005000082,CH01,2021,2022-05-27,YANNMEILI
0005000083,CH01,2018,2025-04-08,HAMZA27
0005000084,CH01,2018,2021-07-12,WSUTER
0005000085,CH01,2019,2021-03-02,CHERZOG
0005000086,CH01,2020,2019-10-27,SYLVIESTOCKL
0005000087,CH01,2019,2020-02-29,VOGELGEORGIO
0005000088,CH01,2021,2024-03-10,MKESSLER
0005000089,CH01,2019,2019-08-01,THIAGOZINGG
0005000090,CH01,2018,2018-08-18,IMULLER
0005000091,CH01,2019,2025-07-12,INGE74
0005000092,CH01,2018,2020-04-26,KUHNOTHMAR
0005000093,CH01,2021,2023-05-25,GEIGERSELIN
0005000094,CH01,2018,2020-05-04,MARTIMARCELL
0005000095,CH01,2020,2020-11-26,SHABAN88
0005000096,CH01,2021,2025-01-30,FREDERIK06
0005000097,CH01,2018,2019-05-30,KATJASCHLATT
0005000098,CH01,2020,2023-02-10,AYLINHESS
0005000099,CH01,2020,2021-01-17,VWIRZ
0005000100,CH01,2018,2021-09-09,KESSLERBIANC
0005000101,CH01,2020,2020-07-26,SHPRESAFELBE
0005000102,CH01,2019,2023-01-17,GRZEGORZ99
0005000103,CH01,2020,2021-05-24,BIERIJANIK
0005000104,CH01,2020,2020-12-19,JOST44
0005000105,CH01,2020,2022-10-19,CHAUSER
0005000106,CH01,2021,2024-01-11,LETIZIA98
0005000107,CH01,2020,2025-04-26,LFELBER
0005000108,CH01,2020,2024-07-16,DOLORESGRAF
0005000109,CH01,2021,2023-03-13,FURRERJOAO
0005000110,CH01,2021,2021-05-04,BERGERKRISTI
0005000111,CH01,2020,2024-09-16,BACHMANNLILL
0005000112,CH01,2018,2021-05-04,BRUNISMET
0005000113,CH01,2019,2022-11-20,STAUBALIX
0005000114,CH01,2018,2024-10-04,EDUARDO34
0005000115,CH01,2021,2021-08-30,LORENZOREY
0005000116,CH01,2021,2024-06-06,BARLEILA
0005000117,CH01,2018,2021-01-22,AGATHE77
0005000118,CH01,2019,2025-05-21,SELINA72
0005000119,CH01,2018,2025-05-07,LUZIASCHOCH
0005000120,CH01,2019,2021-10-03,OREY
0005000121,CH01,2021,2023-01-14,ELEONORE57
0005000122,CH01,2021,2022-05-04,MADERBRYAN
0005000123,CH01,2020,2021-02-13,UELI40
0005000124,CH01,2021,2018-07-25,FREDERIKHIRT
